Name,Price,Rating,Specifications,Link
Realme Buds Q2 Bluetooth Headset,₹874,3.9,"In ear Wireless Earbuds, Bluetooth v5.0, 10mm Driver, Noise Cancellation, 2.5 hrs Charging Time",https://www.mysmartprice.com/audio/realme-buds-q2-bluetooth-headset-msf602696
Realme Buds Q2s Bluetooth Headset,"₹1,999",3.9,"In ear Wireless Earbuds, Bluetooth v5.2, 30 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 3 hrs Charging Time",https://www.mysmartprice.com/audio/realme-buds-q2s-bluetooth-headset-msf601898
Oneplus Buds Pro 2 Bluetooth Headset,"₹6,189",4.1,"In ear Wireless Earbuds, Bluetooth v5.3, 22 hrs Playback Time, 11mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/oneplus-buds-pro-2-bluetooth-headset-msf601504
JBL Wave Beam Bluetooth Headset,"₹2,499",3.7,"In ear Wireless Earbuds, Bluetooth v5.2, 8 hrs Playback Time, 8mm, Dynamic Driver, Replaceable Earbuds, 32 hrs standby time",https://www.mysmartprice.com/audio/jbl-wave-beam-bluetooth-headset-msf601307
Oneplus Buds Pro Bluetooth Headset,"₹7,986",4.1,"In ear Wireless Earbuds, Bluetooth v5.2, Noise Cancellation",https://www.mysmartprice.com/audio/oneplus-buds-pro-bluetooth-headset-msf602533
Noise Tune Active Bluetooth Earbuds,"₹1,299",3.9,"In ear Wireless Earbuds, Bluetooth v5.0, 10 hrs Playback Time, 10mm, Dynamic Driver, Replaceable Earbuds, 320 hrs standby time",https://www.mysmartprice.com/audio/noise-tune-active-bluetooth-earbuds-msf605005
Boat Airdopes Supreme Bluetooth Headset,"₹1,499",4.1,"In ear Wireless Earbuds, Bluetooth v5.2, 50 hrs Playback Time, 10mm Driver, Replaceable Earbuds, 2 hrs Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-supreme-bluetooth-headset-msf616555
Boat Immortal 100 Bluetooth Headset,₹999,4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 30 hrs Playback Time, 10mm Driver, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/boat-immortal-100-bluetooth-headset-msf616773
Noise Buds VS104 Bluetooth Headset,₹799,3.8,"In ear Wireless Earbuds, Bluetooth v5.2, 30 hrs Playback Time, 13mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/noise-buds-vs104-bluetooth-headset-msf601830
Mivi DuoPods K4 Bluetooth Earbuds,₹799,3.8,"In ear Wireless Earbuds, Bluetooth v5.3, 50 hrs Playback Time, 13mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/mivi-duopods-k4-bluetooth-earbuds-msf616806
Boult Audio Z20 Pro Bluetooth Headset,₹898,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 50 hrs Playback Time, 10mm Driver, Noise Cancellation, 90 minute Charging Time",https://www.mysmartprice.com/audio/boult-audio-z20-pro-bluetooth-headset-msf615658
Boat Airdopes Atom 81 Bluetooth Headset,"₹1,099",3.6,"In ear Wireless Earbuds, Bluetooth v5.3, 50 hrs Playback Time, 13mm Driver, Call control, 2 hrs Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-atom-81-bluetooth-headset-msf601223
Xiaomi Redmi Buds 4 Active Bluetooth Headset,"₹1,199",3.6,"In ear Wireless Earbuds, Bluetooth v5.3, 28 hrs Playback Time, 12mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/xiaomi-redmi-buds-4-active-bluetooth-headset-msf604446
Wings Phantom 550 Bluetooth Headset,₹999,3.9,"In ear Wireless Earbuds, Bluetooth v5.2, 45 hrs Playback Time, 13mm, Dynamic Driver, Replaceable Earbuds, 2 hrs Charging Time",https://www.mysmartprice.com/audio/wings-phantom-550-bluetooth-headset-msf601613
